,Rate
1541,7.1
3803,5.1
5717,6.8
5681,7.1
4781,6.7
3628,6.9
2500,8.7
5454,6.7
2860,6.1
5471,6.1
6082,8.7
2548,7.0
5890,5.2
5689,6.3
3166,5.6
5923,4.5
2052,6.7
1776,5.8
3459,8.1
6168,5.0
1592,7.9
1723,7.6
4828,5.9
5337,7.6
490,6.0
5192,6.1
1006,6.8
4889,5.1
3666,5.6
2314,7.2
1417,6.5
25,6.8
1113,7.0
5112,6.4
1552,8.3
5273,7.8
5670,5.5
433,7.8
3100,6.8
5313,3.3
5499,7.7
3139,7.4
3279,5.3
3727,6.2
5407,5.4
3196,7.1
5937,5.4
1102,6.9
3204,5.6
4578,6.9
5936,6.1
194,7.1
615,5.8
643,7.5
4517,6.5
2589,6.3
5220,8.1
330,8.4
5684,7.6
3956,6.7
3295,1.2
4509,4.1
483,8.3
2420,6.9
719,7.7
5165,7.8
2059,8.0
5819,7.0
32,4.1
664,4.1
4855,6.5
5141,4.3
1444,7.1
4725,7.4
2531,6.3
6025,5.0
1705,6.6
3407,7.6
5655,6.1
3751,7.1
2277,7.7
1401,6.1
3968,6.4
170,7.3
540,7.5
4633,5.8
4624,7.9
2611,7.5
2879,7.3
674,8.5
3090,8.2
4995,4.6
1815,8.5
3903,4.7
2100,6.8
3308,6.4
5202,7.3
2101,7.4
5230,7.9
2970,6.9
1548,7.1
3477,7.4
4003,6.0
355,No Rate
3648,7.3
2859,6.4
3585,6.0
5466,7.2
4396,6.6
2373,6.2
1051,6.5
2321,5.9
3759,6.2
4284,8.6
1751,7.3
2617,6.8
1772,6.5
1196,No Rate
1878,7.8
2016,7.2
2005,6.4
5008,8.7
1482,8.2
328,4.6
648,7.0
2594,6.1
1123,4.2
2941,5.7
5439,7.2
3613,7.5
3012,8.1
2963,7.0
5171,7.1
1259,8.4
3218,6.1
4140,6.3
2857,4.8
1519,8.1
1378,7.3
4505,6.1
1023,6.4
3045,7.2
4743,6.6
4047,7.3
912,7.8
5533,6.2
1675,7.6
1746,8.3
5627,8.4
1736,6.8
1629,6.1
4024,4.6
430,5.5
1808,7.5
3732,8.1
2534,7.5
4560,No Rate
3682,5.2
3656,6.8
2222,7.3
3437,7.0
5404,8.3
5509,7.8
3855,4.9
5309,8.2
5482,7.5
3519,5.1
1995,6.5
4954,2.5
2224,5.9
1106,No Rate
5089,5.9
818,6.6
4844,8.2
4482,6.8
1697,7.5
6075,7.1
136,7.8
3426,8.3
3095,5.9
5474,4.6
1180,7.2
3634,6.1
888,7.0
4082,No Rate
2437,8.2
5149,6.8
3065,7.0
817,6.8
1111,6.8
3611,9.2
2341,6.8
4553,7.4
3978,6.7
1264,6.7
990,8.2
3422,6.0
1739,6.9
3571,5.8
353,5.7
4705,6.9
3607,7.0
4328,6.1
1489,5.8
4126,6.8
1228,7.1
5845,9.2
2851,5.5
6056,4.0
5781,7.9
52,9.4
3305,4.0
4035,6.2
159,8.2
3516,6.5
3864,6.1
1589,7.3
1479,7.6
1469,6.9
3247,3.8
2943,7.5
2678,6.8
2078,7.9
3650,6.3
6089,6.9
2755,7.9
436,7.9
3055,7.2
4103,6.6
1588,6.7
5409,4.9
1590,8.0
3651,5.4
973,6.7
1238,6.9
2342,7.3
5135,6.9
3290,7.7
3796,6.2
5270,5.8
2231,6.9
3849,6.5
1497,6.3
449,8.1
2369,7.4
3560,6.4
2422,5.0
5545,8.3
3169,6.4
1551,7.1
5476,7.5
1146,7.4
3954,7.4
2092,No Rate
1313,6.9
2015,7.3
3807,6.1
2890,7.6
3184,6.7
1381,9.1
5973,6.5
413,8.7
941,7.4
801,5.3
4877,6.1
5488,6.9
256,8.2
6063,8.2
2235,7.2
647,6.6
1767,6.3
4224,7.3
2646,6.6
3158,6.8
2789,7.4
24,No Rate
1088,8.0
3006,6.8
4314,7.8
112,7.7
2311,7.2
5498,6.7
56,8.0
1309,7.3
695,8.3
4490,7.2
1227,7.8
1999,7.5
276,8.8
4183,7.8
3080,7.3
1833,8.1
682,6.8
3322,7.3
4458,6.2
3035,6.9
1137,6.6
3971,6.4
4829,6.2
3187,5.9
4095,No Rate
4974,No Rate
1346,8.0
2707,6.7
3123,7.2
2968,6.8
2384,7.5
115,6.3
4296,8.3
6147,7.4
3442,7.6
2767,7.4
3443,5.7
3927,5.7
2917,7.4
5137,7.3
5075,6.7
81,5.5
1972,7.8
1714,8.4
4523,6.2
2957,6.4
3831,7.2
1946,9.7
5492,7.4
3132,3.1
5238,6.7
1610,7.3
3428,6.2
6018,7.0
4362,6.7
6037,8.0
5039,4.9
4374,8.4
665,7.9
2194,6.2
3947,6.4
5250,6.7
1017,5.1
557,7.4
5028,7.0
3593,6.7
1207,6.9
3038,6.3
5919,6.2
1510,7.2
2821,5.9
3901,5.7
4198,7.3
4200,No Rate
266,7.6
2850,6.7
3543,7.1
2111,5.7
3119,6.9
1909,No Rate
4301,7.8
5414,5.5
656,4.7
5741,7.5
4358,5.5
4368,6.9
998,8.0
3403,7.8
1784,7.2
1237,6.2
5140,7.2
5217,7.1
4092,7.3
5009,6.2
6098,6.9
2186,7.2
3647,6.9
908,3.4
3918,5.8
1303,7.6
5765,6.8
1627,8.3
1522,7.6
835,7.5
358,8.4
138,8.6
299,5.3
1556,8.4
1003,8.9
382,7.7
4113,6.1
761,7.8
5989,7.6
3130,5.2
3306,7.5
4991,6.8
4236,7.5
1402,8.2
3074,7.2
5297,6.7
2721,8.3
1932,8.0
3396,5.4
4882,5.7
5153,6.0
5272,8.6
3105,8.3
4094,4.7
2685,7.2
5099,7.3
58,8.0
76,8.2
796,8.0
2416,6.8
3161,5.8
4511,6.9
785,7.5
5125,8.5
6017,8.4
3159,3.3
2217,5.3
5266,7.0
2977,6.4
3708,6.6
2908,6.2
5664,8.1
4762,6.6
910,8.3
2172,7.4
5902,6.8
2309,6.4
5783,5.8
1257,8.1
2495,7.4
4651,8.5
3780,7.5
1178,7.0
4644,6.8
5045,5.9
442,7.7
1399,7.4
3214,8.2
5189,7.2
5886,5.1
1054,7.9
4239,5.9
4730,6.9
3221,8.2
1415,6.7
2372,6.7
4359,7.8
3148,7.3
2948,8.4
4836,6.8
4323,7.1
1502,6.5
3297,7.6
5866,5.7
2011,7.8
4676,5.4
3248,7.1
6088,6.8
4977,8.1
5057,7.2
3664,4.7
6,7.3
2487,7.7
678,6.1
1943,6.9
3934,6.5
5683,5.4
5529,6.4
5916,7.4
3979,6.6
2607,5.9
3767,7.7
5679,7.3
1064,7.4
3950,7.0
2242,7.7
1474,5.1
4576,6.2
1889,6.6
4207,5.9
2021,No Rate
5242,7.3
4393,8.1
2658,6.0
2467,7.9
4400,8.3
1130,7.2
1461,6.7
4989,7.7
5878,7.2
5054,7.3
5074,6.5
222,8.4
5725,6.0
48,7.8
573,7.5
1236,7.5
4694,7.6
5986,6.8
5548,5.5
2282,7.3
5595,6.0
267,8.3
1104,7.5
2305,6.7
4864,7.7
1935,7.2
386,8.1
1701,8.0
1628,8.1
4786,6.1
2714,7.6
3162,5.7
5398,7.4
1563,6.2
2760,7.0
3786,7.1
209,7.1
909,9.6
1289,6.6
5976,5.6
4077,6.5
1842,6.7
2497,6.0
5656,8.0
4250,6.0
958,7.1
1793,8.4
2088,7.5
2702,8.1
331,No Rate
3529,5.8
5473,7.1
3167,8.0
2459,6.3
1774,7.3
4332,7.5
3559,7.7
4660,8.0
5065,5.3
5011,6.8
4306,6.7
3984,5.7
2897,8.1
3263,6.6
1710,6.7
4713,6.1
2478,7.7
1366,6.8
173,8.7
858,8.6
4546,4.8
3066,7.0
5379,7.5
3615,7.0
1952,No Rate
5440,4.9
3548,7.0
2036,7.7
5522,5.9
4525,7.1
18,9.2
0,7.6
2174,7.2
1356,7.0
5666,5.9
3365,7.5
2826,7.4
4581,6.5
396,7.8
5367,7.4
3536,7.7
4879,5.0
1812,6.6
3822,6.2
4538,7.0
816,8.9
1572,6.9
4270,5.5
1800,7.1
2280,No Rate
4562,6.6
4881,4.9
6152,6.7
4666,6.5
5066,8.1
5324,8.3
4083,6.0
3653,6.4
3505,6.1
5117,5.2
4313,6.8
5015,6.8
554,5.9
1159,6.9
1213,8.1
6024,7.0
1325,7.0
3479,6.5
3544,7.5
700,7.0
2700,7.6
4417,7.7
1847,7.1
4531,7.1
4086,6.4
1455,7.7
5169,5.5
3126,6.4
3720,8.3
866,6.6
5267,8.0
1644,6.2
2140,6.6
5356,No Rate
6057,7.5
1490,8.6
3268,9.1
729,8.1
4733,7.1
3705,7.8
2620,6.1
1936,7.5
3328,6.5
1110,8.0
5014,6.4
5519,6.3
2998,4.8
2394,7.1
1185,8.0
2007,5.8
193,7.9
1515,6.1
4935,8.1
578,7.5
2123,5.6
1429,6.6
771,7.6
3787,7.0
2395,8.6
6119,7.3
1846,7.6
131,6.0
178,7.6
5514,7.4
4030,6.4
5461,8.1
2580,7.3
3834,7.5
3550,7.0
2652,7.5
3931,7.8
2073,6.8
658,8.1
1896,7.5
4536,8.2
2606,7.4
2221,7.3
5843,6.5
2379,7.3
1447,No Rate
342,8.0
3813,6.5
2527,6.0
727,7.0
4857,6.6
976,7.9
3053,5.7
4406,7.2
1928,7.6
3910,6.0
5929,6.4
1299,8.1
4333,7.1
5671,5.6
660,7.1
1790,6.5
3586,5.8
4137,5.3
493,6.8
4800,6.7
4334,6.5
5566,6.2
4048,7.4
5964,5.6
5229,5.5
1085,8.7
5827,8.4
694,5.5
1278,7.8
4351,5.1
1621,5.7
2561,5.6
4308,5.9
5233,6.0
67,8.6
3866,6.4
3189,6.4
2269,6.8
4340,7.2
3318,8.2
4860,5.9
820,No Rate
1226,8.0
1677,7.1
5994,8.2
2867,7.0
4500,6.8
2367,6.8
4381,3.3
4102,6.3
2512,7.3
4878,7.5
2723,7.9
5502,5.2
5857,6.4
4561,No Rate
1143,5.6
397,7.1
5690,8.6
3209,No Rate
786,8.4
5289,3.7
5775,6.6
1398,7.0
1659,8.2
4619,8.0
2220,7.8
979,6.4
2331,6.5
1298,6.2
3770,5.3
4322,8.3
4589,6.4
82,8.1
5043,6.3
4184,7.2
4823,6.5
5096,7.9
4856,6.6
3439,7.2
2903,8.2
423,5.5
5342,7.6
1904,7.6
5601,6.0
1530,6.9
4373,5.8
1565,8.5
4563,5.8
2749,7.5
839,9.0
500,9.3
4002,7.7
141,7.8
5098,7.3
2605,6.3
5524,8.4
1377,6.6
4795,7.2
6058,6.8
2266,7.9
3213,6.1
1138,6.1
2257,8.5
5257,5.3
1787,8.0
3844,7.1
550,6.5
459,7.4
2019,6.8
948,7.7
3404,7.2
5981,7.6
532,8.3
4982,4.1
1829,6.3
4229,7.5
5448,7.7
4913,8.2
3570,6.9
1602,8.7
2238,7.6
639,8.0
5963,7.0
967,8.8
5216,6.6
3929,7.3
1683,6.6
2248,6.5
4246,5.8
5518,6.9
5261,6.3
155,7.1
2295,6.3
3728,6.0
5415,7.5
1089,4.8
3967,5.2
2319,7.2
2940,5.6
5221,5.6
288,No Rate
930,7.1
2909,6.6
3793,6.4
4790,6.6
2884,7.0
3573,6.0
3406,8.6
5606,5.7
3000,No Rate
4577,6.0
3545,8.4
6091,7.2
942,7.9
2354,7.4
4903,5.5
5325,3.0
5960,8.0
1698,4.9
5811,6.1
4258,8.0
3750,6.8
4154,7.8
4349,7.7
985,7.6
1821,6.5
3289,6.7
5624,5.4
5893,6.6
981,No Rate
3733,3.2
4983,7.1
5620,6.6
4819,6.7
4420,No Rate
3700,7.1
1473,6.6
5887,8.5
3551,8.2
4896,7.2
1457,7.0
1395,7.3
264,8.0
2748,6.1
3589,6.5
2692,8.4
5971,4.9
929,9.0
4342,7.4
6077,7.6
2400,7.2
2178,6.0
5849,6.4
246,8.5
1594,7.8
1758,7.0
6008,6.7
4153,8.0
923,8.4
5247,7.6
4559,6.7
268,6.1
669,7.4
4098,8.0
1910,8.0
5861,3.0
4287,6.9
1152,7.0
5669,4.5
5067,6.1
5941,5.8
4630,7.3
2696,6.7
2591,5.7
5746,7.5
1781,6.5
2413,8.2
3013,8.0
5391,7.1
2307,6.8
3258,7.9
687,7.9
1915,6.6
5810,8.0
612,8.2
3071,5.1
4316,7.2
3200,7.4
2267,8.3
5921,5.7
2533,6.2
39,7.8
1898,7.0
1649,7.5
5714,5.4
258,5.9
2924,8.1
2434,7.3
847,8.3
2822,6.4
4526,6.4
5234,7.0
4259,4.9
5609,6.9
1233,6.8
1127,7.6
3691,No Rate
1967,8.6
558,5.8
904,7.6
2614,7.1
3143,5.5
484,8.4
2211,7.0
1320,7.1
3527,5.8
2555,7.8
7,No Rate
2315,7.3
5228,6.4
4508,7.4
4439,6.8
5421,6.8
1450,5.5
1201,8.5
2426,7.7
2648,7.6
1814,7.2
2726,6.2
773,7.4
2274,7.3
1011,6.7
4159,8.2
3168,8.4
3667,7.7
1991,7.4
1277,7.5
1783,6.9
4376,8.0
446,6.8
880,7.0
4867,8.4
5505,5.5
2727,No Rate
3048,5.9
781,6.4
2651,7.5
5999,8.4
1749,No Rate
2126,4.3
6133,7.1
2791,5.8
2423,7.3
6030,7.7
5319,4.4
883,5.5
3552,6.4
1091,8.4
6014,7.7
4244,7.2
531,8.0
4909,7.1
2438,7.2
5005,6.8
4541,6.3
2608,6.7
5059,5.5
2290,7.1
1727,7.5
610,8.2
570,7.4
3994,5.5
1317,7.9
343,7.0
587,6.7
4811,6.2
636,6.9
434,7.1
1903,7.6
3215,6.8
97,5.0
3362,6.4
3624,7.7
4768,6.0
5880,6.9
2069,6.7
1537,7.8
3392,6.7
4253,7.1
5368,5.6
3518,7.4
1517,7.0
965,8.3
5429,5.9
528,8.1
176,7.3
2470,5.5
4652,8.9
3808,6.7
3001,8.3
5284,6.8
572,6.3
3454,8.2
592,6.2
5123,7.4
3062,6.5
3684,7.1
2374,6.0
3064,7.3
5792,7.3
4456,5.7
3869,6.2
4318,6.2
2208,7.4
6105,5.9
2492,7.0
5411,5.8
383,8.1
852,6.4
1880,5.3
370,8.0
3558,6.7
4353,6.3
5357,5.9
5322,7.3
6135,6.8
1105,7.0
3852,7.4
2361,6.7
4962,5.5
1336,6.9
2189,5.2
5665,6.3
5564,6.2
3487,5.5
2246,7.0
4237,6.5
5982,7.9
1171,7.6
3274,6.3
3881,5.9
6000,5.6
1422,8.3
2686,5.9
5885,6.2
3513,7.6
3961,6.8
5560,7.7
1464,7.3
874,7.6
2297,5.2
2643,7.9
4998,5.6
5343,6.4
1251,8.5
5330,6.7
840,No Rate
4350,6.8
581,6.2
204,6.9
1641,8.0
2014,7.7
3253,8.5
905,7.0
631,7.6
4366,2.7
3771,5.4
1974,8.1
162,8.5
4428,4.6
4195,6.0
5547,7.9
3717,6.3
617,8.0
875,No Rate
1431,7.2
2973,7.4
4266,7.4
547,5.9
4696,6.3
6159,6.2
5198,7.4
4936,6.2
3435,4.4
3982,7.8
3711,No Rate
5035,6.7
2856,6.6
1861,6.5
2659,7.3
3384,6.3
5668,5.9
640,8.7
4994,7.2
1009,6.8
3366,6.5
6036,7.2
637,6.7
3941,6.3
5046,6.5
4634,6.2
2308,7.4
4288,6.9
3145,7.5
4001,7.0
2096,6.2
3908,7.1
1956,6.8
1372,7.5
5706,6.1
921,6.6
5645,7.3
546,7.8
1449,3.8
2804,No Rate
2610,6.1
1900,6.5
2757,6.2
2028,6.7
2301,7.5
1885,No Rate
1642,7.6
972,7.5
5933,6.6
2097,7.1
5361,6.6
4709,3.7
5546,6.6
6136,6.4
836,7.5
3471,7.2
601,8.0
2184,7.2
4907,7.5
3721,6.3
5299,5.0
1582,7.3
5251,7.6
5869,6.8
4081,8.4
1070,8.4
1775,6.1
5932,7.1
1283,7.6
5136,5.4
4504,5.9
5865,5.7
1836,8.0
5223,7.6
1019,No Rate
970,7.8
1326,7.7
3528,7.7
475,8.0
2810,6.6
4625,6.6
1651,7.0
5732,4.0
5271,8.0
2528,6.6
4160,6.7
3710,7.7
3870,7.1
1373,6.8
739,8.0
4742,7.1
3657,5.2
867,8.4
2974,6.5
1140,6.5
997,No Rate
1337,8.7
541,8.1
1099,7.4
1132,7.5
5987,No Rate
4066,6.6
2258,3.7
4984,7.0
3390,6.9
2962,5.9
59,6.9
3259,5.1
2206,6.7
1938,6.3
3861,5.2
6101,7.9
4399,6.3
2813,5.1
5344,8.1
5300,5.3
1078,6.6
4663,6.9
5667,6.5
4395,8.3
3932,7.3
6062,4.7
2630,8.6
4941,7.2
4161,5.7
3604,7.7
940,8.0
1080,7.9
187,8.0
3940,7.1
4251,7.0
2085,5.7
2249,7.7
4617,8.1
6043,7.6
2023,7.3
5797,3.8
1492,7.4
5854,8.3
4187,7.6
226,7.2
1013,8.1
2583,6.8
1929,7.7
4796,8.3
5552,6.3
1404,5.6
2179,5.4
697,7.4
1124,6.1
3282,6.9
1093,7.8
4230,8.1
1778,No Rate
2634,4.7
3091,5.5
5256,7.0
4639,6.8
3489,7.1
1656,6.2
1037,6.7
5143,6.3
2256,8.0
4818,4.1
6107,5.3
313,7.7
2649,7.2
2281,7.3
3909,5.5
4411,7.7
2547,7.7
1416,8.6
1036,6.4
2159,7.1
2984,6.5
3137,7.8
5130,7.7
1754,9.6
4385,7.1
5569,8.0
4038,7.6
3836,7.6
2520,6.3
3785,6.8
873,6.7
4557,7.9
4618,6.8
1506,8.1
5788,7.0
1923,8.1
448,7.8
3660,6.2
3783,5.6
6138,6.6
3842,7.2
3257,7.1
361,8.1
2183,6.1
1134,7.7
5037,7.2
3199,7.5
4918,8.2
3438,7.7
2155,7.1
1830,6.9
1053,8.3
2460,7.4
22,7.9
2066,5.7
1653,7.3
4128,7.5
4623,5.6
2743,4.3
1376,6.8
5782,6.8
2468,6.4
2325,7.2
460,8.0
1067,8.3
87,8.7
1430,6.6
5316,No Rate
4622,7.6
282,5.4
2483,7.1
462,7.8
212,5.4
2588,6.9
3742,6.8
4032,3.2
2907,8.2
2581,5.5
1368,8.0
234,7.4
4125,7.2
597,6.4
5451,7.8
2250,5.3
5013,6.3
2283,6.2
662,No Rate
6132,4.1
2285,7.0
3431,5.9
5820,6.7
5374,7.3
3898,7.7
5635,5.4
3468,7.0
4100,6.7
3601,8.2
2990,5.5
5491,6.3
779,7.3
2544,5.9
4582,4.0
4442,6.0
5424,7.4
4513,6.1
4448,8.1
5080,4.1
5967,6.2
685,8.5
3805,8.4
5245,No Rate
3243,6.9
1748,6.5
2003,6.4
4772,6.1
2837,7.0
3697,6.2
3032,7.2
2171,6.5
4260,6.4
1850,6.6
487,7.9
1688,7.0
2230,5.7
3473,6.9
4498,6.9
2320,No Rate
782,5.3
521,4.4
522,No Rate
4176,7.7
2939,6.7
4815,7.2
4967,5.7
2398,8.6
2207,7.3
4649,6.7
780,4.8
4822,6.4
4163,3.3
1511,2.5
1882,No Rate
651,7.0
2196,8.4
1801,5.8
369,6.7
5653,5.6
3949,7.3
118,8.1
377,6.9
216,7.1
2216,5.6
4691,6.9
1613,5.4
2883,No Rate
4419,8.0
5540,3.2
3632,6.8
962,5.7
5557,6.2
2510,6.2
6070,5.5
4697,6.9
4755,6.6
359,5.2
4110,6.7
1246,6.6
3408,6.5
4290,4.9
2415,8.1
5742,6.5
3694,7.3
5213,6.6
2185,5.3
4162,7.2
2567,6.3
3423,6.5
2037,7.6
5246,8.3
772,8.4
1284,6.8
6102,7.4
3562,6.4
5844,7.6
2587,6.0
5643,7.7
1414,6.2
1234,7.1
4039,7.2
435,8.8
1674,6.9
3299,7.2
365,7.0
5431,5.6
231,8.1
5252,6.3
147,9.0
5420,5.5
3088,7.5
4865,7.7
3554,No Rate
407,7.8
5701,6.7
3692,6.4
3456,5.9
2090,6.6
86,7.4
3576,6.3
3271,8.8
844,8.0
1031,8.3
3936,No Rate
4453,7.5
4078,6.4
2987,6.0
6068,8.2
2628,7.1
4677,8.4
3995,7.3
855,6.8
3003,5.9
78,7.7
2992,No Rate
2247,7.3
6052,7.4
5637,1.9
5678,5.6
758,5.7
5164,No Rate
3355,6.1
788,7.4
2279,7.6
4427,7.3
4369,6.3
5294,7.8
4912,4.7
3631,8.0
4615,6.8
3975,8.5
2176,8.1
424,8.3
392,6.7
4601,7.1
5830,7.5
2239,8.0
104,7.5
2672,6.7
5647,5.7
4808,7.1
2068,5.8
4152,7.4
3493,7.4
1948,5.6
1459,7.5
4443,7.4
1768,6.6
3298,7.2
743,6.3
4053,7.0
3835,7.5
5908,8.4
1587,7.1
4773,4.5
1731,6.6
5879,6.2
4248,7.4
4814,5.6
182,8.9
1791,8.5
2355,5.6
1940,7.6
702,6.8
2442,8.0
5816,6.5
496,4.2
4886,7.2
464,5.9
4020,7.2
5433,No Rate
172,5.8
2020,6.8
5918,6.0
3764,7.4
5497,5.2
2540,7.4
6125,7.0
2009,6.2
