,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
447,It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,0,182,107,160,0,1,202,G,Major,24,76,60,77,0,12,4
132,Radio,Lana Del Rey,1,2011,1,1,9389,46,24,122,282,3,368,150,D,Major,42,20,86,21,0,9,9
943,Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,6,5,3,0,0,144,F,Major,93,62,61,0,0,12,20
881,cï¿½ï¿½mo dormi,Rels B,1,2022,8,4,1452,35,16,15,20,0,0,126,C#,Major,63,56,43,24,0,12,23
185,Cheques,Shubh,1,2023,5,19,67,8,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5
581,Daddy Issues,The Neighbourhood,1,2015,10,30,9771,4,42,70,384,0,3,85,A#,Major,59,33,52,7,15,12,3
108,Bones,Imagine Dragons,1,2021,3,11,4198,44,98,108,327,17,153,114,F,Minor,77,65,72,2,0,7,5
481,Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,3,7,10,0,0,112,G#,Major,80,15,54,9,0,38,5
56,Moonlight,Kali Uchis,1,2023,2,24,2649,42,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5
363,Vista Al Mar,Quevedo,1,2022,9,8,1769,34,16,19,21,3,4,105,,Minor,76,49,56,80,12,10,13
449,Snowman,Sia,1,2017,1,1,5140,0,85,110,500,0,,105,C#,Major,72,33,51,48,0,9,3
535,drivers license,Olivia Rodrigo,1,2021,1,8,12685,3,185,61,485,0,,144,A#,Major,59,21,43,76,0,10,7
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,74,182,87,14,"1,093",99,C#,Major,85,83,68,7,0,36,20
551,Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,47,14,90,0,1,95,D,Major,77,40,47,2,0,9,3
493,Too Late,SZA,1,2022,12,8,714,0,0,9,2,0,0,128,B,Major,45,35,68,78,0,39,8
501,Sacrifice,The Weeknd,1,2022,1,7,4440,0,81,77,133,0,,122,G,Major,70,91,79,3,0,7,10
338,Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,29,3,18,0,19,137,C#,Minor,84,44,67,8,0,11,6
51,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3
467,SOS,SZA,1,2022,12,9,827,0,6,18,1,0,0,119,G,Minor,51,51,66,67,0,9,23
904,Talk that Talk,TWICE,1,2022,8,26,615,0,14,77,15,1,2,120,D#,Minor,77,78,91,14,0,33,12
603,HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,5398,4,111,127,210,0,37,129,,Major,61,59,46,56,0,13,5
264,I AM,IVE,1,2023,4,10,366,15,16,102,7,0,55,122,E,Minor,68,38,88,1,0,8,5
622,Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28,8087,0,92,34,131,0,0,102,G#,Major,89,77,82,3,0,17,11
649,Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,141,78,"6,591",1,0,93,B,Major,81,53,78,18,0,6,24
549,Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,2696,0,42,2,57,0,,120,G#,Major,58,44,60,44,9,5,6
618,Cï¿½ï¿½,Rauw Alejandro,1,2021,6,25,2636,3,36,82,39,0,5,102,A,Minor,77,26,63,58,0,11,5
18,Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,43,100,54,14,187,100,B,Major,86,67,66,14,0,12,16
682,Malvada,Zï¿½ï¿½ Fe,1,2022,1,28,601,0,28,73,64,0,0,135,F,Minor,89,89,86,16,0,8,5
866,Betty (Get Money),Yung Gravy,1,2022,6,10,2402,0,45,2,26,0,1,102,C#,Major,73,62,75,0,0,34,8
717,Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,40112,3,321,162,"5,691",8,17,71,,Minor,41,23,40,27,0,30,5
367,Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,6,26,69,73,2,6,158,C#,Major,65,72,95,31,0,92,5
83,Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3
61,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5
665,Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,7,21,2,0,0,95,F,Minor,84,49,72,8,0,15,8
272,Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,0,0,0,0,0,148,A,Major,90,74,68,14,0,10,19
285,Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4
360,Lovezinho,Treyce,1,2022,7,28,242,0,12,2,13,0,4,128,E,Minor,82,61,59,30,0,12,4
354,Monotonï¿½,"Ozuna, Shakira",2,2022,10,19,3645,15,118,34,150,4,19,132,,Minor,87,82,70,42,0,21,5
408,After Dark,Mr.Kitty,1,2014,8,8,1776,14,1,9,3,0,0,140,G#,Major,58,4,60,7,41,8,3
278,DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10
12,Flowers,Miley Cyrus,1,2023,1,12,12211,115,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7
182,Creep,Radiohead,1,1992,9,21,36724,7,146,72,"6,807",5,80,92,G,Major,53,12,34,1,0,12,4
368,LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,28,6398,31,177,109,305,3,5,176,G,Major,75,43,65,15,0,11,32
440,Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,1,14143,4,56,38,"1,891",1,,110,E,Major,74,51,74,2,0,29,4
668,California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,0,128,17,"1,663",0,0,92,G,Major,77,76,84,3,0,38,4
223,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3
544,It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,56,8,104,0,10,78,G,Major,40,7,29,62,0,9,3
666,Cigarettes,Juice WRLD,1,2021,12,10,975,0,11,0,10,0,0,160,D,Major,60,47,62,3,0,38,4
900,Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,93,95,84,9,202,102,C#,Minor,67,72,74,30,0,36,4
462,Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,25,14169,0,209,30,449,0,0,115,,Major,60,23,57,0,2,27,3
554,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14140,0,231,52,612,6,,90,,Major,63,49,68,38,0,42,18
580,Acapulco,Jason Derulo,1,2021,9,1,3098,0,111,5,182,1,0,122,A#,Major,77,51,79,5,0,16,5
176,Shake It Off,Taylor Swift,1,2014,1,1,21335,13,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16
634,Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,368,155,"2,854",6,121,96,G,Major,57,30,40,38,0,26,3
675,Swim,Chase Atlantic,1,2017,10,4,2742,0,5,1,62,0,0,120,G#,Major,67,8,54,27,0,8,4
559,Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,4091,0,105,2,73,13,1,110,,Minor,72,67,68,0,0,14,4
942,Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,8,1,7,0,0,114,D,Minor,62,25,44,51,33,14,3
163,Enchanted,Taylor Swift,1,2010,1,1,4564,16,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3
248,Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12
604,No Lie,"Sean Paul, Dua Lipa",2,2016,11,18,7370,0,92,127,"1,219",0,62,102,G,Major,74,45,89,5,0,26,13
842,Love Of My Life,Harry Styles,1,2022,5,20,1933,0,13,2,31,0,0,118,G,Major,56,20,54,67,0,6,5
375,Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29,2460,13,53,7,56,3,1,94,F,Minor,74,64,73,6,0,10,6
74,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4
113,Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4
541,A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,0,2,2,0,0,94,F,Minor,46,55,50,71,0,10,11
532,Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22,7495,17,114,172,284,2,,120,,Minor,56,16,67,0,0,11,4
390,Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,4260,0,113,92,259,0,1,120,B,Minor,65,80,86,9,0,19,10
104,New Jeans,NewJeans,1,2023,7,7,77,35,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5
114,Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,101,32,"2,655",0,666,112,G,Major,64,54,81,36,0,11,6
703,Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,12,4,0,0,0,72,F#,Major,64,76,44,70,9,12,4
409,Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16,1473,4,27,64,66,1,4,154,,Major,64,61,91,15,0,72,4
92,Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4
536,Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30,648,1,14,3,81,0,0,133,F#,Minor,82,52,61,38,0,14,27
89,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7
336,Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,4,4,20,0,0,0,121,F#,Minor,64,67,80,0,0,36,3
941,"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0,4,5,8,0,0,158,G,Major,48,55,84,43,0,15,12
876,Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4,28,0,54,0,0,130,F#,Major,95,83,57,54,0,10,25
887,ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29,2688,0,39,47,36,0,0,122,A#,Minor,55,46,64,0,0,17,10
764,About Damn Time,Lizzo,1,2022,4,14,9021,0,242,49,272,21,24,109,A#,Minor,84,72,74,10,0,34,7
658,In Da Club,50 Cent,1,2002,1,1,30427,7,235,106,"5,221",1,35,90,F#,Minor,90,79,71,26,0,7,37
582,thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,3,0,5,0,0,148,C#,Major,68,29,73,0,0,7,7
94,Still With You,Jung Kook,1,2020,6,5,31,39,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4
11,Super Shy,NewJeans,1,2023,7,7,422,55,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7
396,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,20,11,78,35,0,21,115,,Major,71,34,88,16,0,44,4
583,ELEVEN,IVE,1,2021,12,1,521,1,17,89,11,0,0,120,A,Major,83,59,73,6,0,5,11
43,See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10
42,I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4
329,LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,72,64,64,6,3,102,B,Minor,83,58,83,21,0,10,5
167,The Night We Met,Lord Huron,1,2015,2,2,18515,35,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4
444,Jingle Bell Rock,Bobby Helms,1,1957,1,1,10326,0,165,99,104,0,,119,D,Major,74,78,37,84,0,6,3
833,Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,34,0,29,0,0,120,G,Major,88,15,56,1,0,8,6
570,Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,101,34,70,1,2,154,F#,Major,66,63,69,21,0,11,7
720,Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,315,160,"6,284",1,46,124,D,Major,53,66,78,0,0,16,5
100,Lover,Taylor Swift,1,2012,1,1,8448,23,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10
426,Limbo,Freddie Dredd,1,2022,8,11,688,0,14,1,17,0,2,75,B,Minor,80,46,62,3,6,11,46
178,SNAP,Rosa Linn,1,2022,3,19,3202,18,148,80,226,24,0,170,,Major,56,53,64,11,0,45,6
416,Blind,SZA,1,2022,12,9,1484,0,22,51,12,0,0,114,A,Minor,46,60,28,91,0,21,4
617,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,0,144,30,86,0,0,136,B,Minor,80,33,60,0,0,32,14
839,Satellite,Harry Styles,1,2022,5,20,3291,5,43,28,79,0,208,139,,Major,58,30,46,14,0,9,3
740,psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,24,0,52,0,0,180,G,Minor,63,45,64,34,0,9,8
177,Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,54,70,"1,089",2,1,92,D,Major,70,81,63,4,0,8,4
395,Space Song,Beach House,1,2015,1,1,17852,4,69,76,335,0,,147,,Minor,51,62,79,22,13,14,3
644,When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",2,2021,12,29,3270,0,89,21,65,0,0,125,,Major,69,70,89,4,0,49,3
756,Golden,Harry Styles,1,2019,12,13,8429,1,85,24,200,0,2,140,E,Minor,45,25,84,21,0,13,6
773,Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,0,9,11,22,1,0,85,A#,Major,71,43,65,23,0,9,5
383,ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,23,95,11,0,3,105,A#,Minor,88,82,80,8,0,11,8
257,Haegeum,Agust D,1,2023,4,21,244,12,6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30
757,Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1,52898,0,203,1,"8,215",0,0,116,F#,Minor,79,87,81,4,0,10,4
335,Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,108,16,197,3,165,145,F#,Minor,59,20,74,1,0,15,5
585,What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,0,13,27,8,0,0,120,E,Major,72,54,71,26,0,10,4
15,Kill Bill,SZA,1,2022,12,8,8109,77,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4
3,Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15
926,Typa Girl,BLACKPINK,1,2022,9,16,452,10,2,129,13,0,1,132,G,Major,92,53,62,7,0,63,10
256,UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5
588,happier,Olivia Rodrigo,1,2021,5,21,3069,4,25,46,105,0,45,169,F#,Major,39,36,45,81,0,8,13
722,Monï¿½ï¿½y so,YEAT,1,2021,9,10,1473,0,2,0,12,0,10,138,D,Major,69,35,57,12,0,10,9
822,San Lucas,Kevin Kaarl,1,2019,11,7,407,1,5,0,5,0,0,92,G,Major,58,27,36,86,0,9,3
914,Selfish,PnB Rock,1,2016,6,23,2468,0,15,0,0,0,0,102,C#,Minor,64,4,60,11,0,19,4
393,Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,13,78,2,0,0,105,G,Major,82,62,74,10,0,33,7
222,Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,10,72,8,3,14,149,G#,Major,66,85,60,40,0,14,13
179,Shape of You,Ed Sheeran,1,2017,1,6,32181,10,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8
289,Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5
602,The Feels,TWICE,1,2021,10,1,1150,0,20,99,44,0,2,120,A,Major,81,92,90,9,0,8,7
324,Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,231,37,"1,509",0,13,99,A#,Major,40,45,56,69,0,9,5
689,When I R.I.P.,Labrinth,1,2019,10,4,2578,0,8,67,66,0,0,80,G#,Minor,39,45,55,73,0,9,21
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33
249,Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,12,57,47,1,33,108,D,Major,67,55,67,60,0,80,5
22,I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,24,98,582,2,73,135,,Minor,48,44,42,12,2,11,3
356,WANDA,Quevedo,1,2023,1,20,888,22,11,24,7,1,7,176,E,Minor,72,96,63,25,0,21,7
221,CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,29,65,34,5,3,96,G#,Minor,74,61,83,11,0,35,6
635,Polaroid Love,ENHYPEN,1,2022,1,10,461,0,10,56,17,0,0,138,G,Minor,74,65,67,46,0,36,4
820,Iris,The Goo Goo Dolls,1,1998,3,31,13101,9,137,5,582,0,0,156,B,Minor,32,49,72,0,0,9,4
936,Mastermind,Taylor Swift,1,2022,10,21,1936,0,7,5,13,0,0,126,E,Major,66,12,35,55,0,9,14
