,Name,Date,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
5296,Funny Games,1997,"69,536","Crime, Drama, Thriller",108 ,Film,Not Rated,-,Mild,Severe,Mild,Mild,Severe
5487,The Bourne Supremacy,2004,"447,254","Action, Mystery, Thriller",108 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
1061,V for Vendetta,2005,"1,068,862","Action, Drama, Sci-Fi",132 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
4961,4: Rise of the Silver Surfer,2007,"257,269","Action, Adventure, Fantasy",92 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
5909,The Good Dinosaur,2015,"108,433","Animation, Adventure, Comedy",93 ,Film,PG,-,None,Mild,None,Mild,Moderate
120,Castle,2021,"146,732","Comedy, Crime, Drama",43 ,Series,TV-14,173,Mild,Moderate,Mild,Mild,Moderate
1777,Republic,2021,751,"Drama, Thriller",152 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
3801,Bedrag,2002,"3,692","Crime, Drama, Thriller",60 ,Series,TV-MA,30,Severe,Severe,Severe,Severe,Moderate
3128,World's Greatest Dad,2009,"38,191","Comedy, Drama",99 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Severe
5703,A Hidden Life,2019,"21,688","Biography, Drama, Romance",174 ,Film,PG-13,-,None,Moderate,None,Mild,Moderate
4960,SAS Australia,1959,141,Reality-TV,None,Series,None,25,No Rate,No Rate,No Rate,No Rate,No Rate
4774,Flight of the Phoenix,2004,"53,254","Action, Adventure, Drama",113 ,Film,PG-13,-,None,Mild,Mild,Mild,Moderate
1230,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"281,909","Action, Adventure, Fantasy",129 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3270,Inside Llewyn Davis,2013,"146,722","Comedy, Drama, Music",104 ,Film,R,-,None,Mild,Severe,Mild,None
1859,Cape Fear,1991,"183,780","Crime, Thriller",128 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
3668,Cars 2,2011,"172,513","Animation, Adventure, Comedy",106 ,Film,G,-,None,Moderate,None,Mild,Moderate
5956,White Lines,2020,"15,831","Crime, Drama, Mystery",60 ,Series,TV-MA,10,Severe,Moderate,Severe,Severe,Mild
3779,JFK,1991,"148,852","Drama, History, Thriller",189 ,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
5527,The Pact,1999,"2,219",Thriller,60 ,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
134,It's Always Sunny in Philadelphia,2021,"201,983",Comedy,22 ,Series,TV-MA,157,Moderate,Mild,Severe,Severe,Mild
3685,Growing Pains,2017,"14,337","Comedy, Family",30 ,Series,TV-G,167,Severe,No Rate,No Rate,No Rate,No Rate
4706,Parker,2013,"119,313","Action, Crime, Thriller",118 ,Film,R,-,Mild,Severe,Severe,Mild,Mild
3885,Smokin' Aces,2006,"141,825","Action, Comedy, Crime",109 ,Film,R,-,Moderate,Severe,Severe,Severe,Severe
2577,Pinocchio,2022,No Votes,"Animation, Drama, Family",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
4319,Bojwagwan,2015,397,Drama,60 ,Series,None,20,No Rate,No Rate,No Rate,No Rate,No Rate
1721,Spring Breakers,2012,"139,175","Crime, Drama",94 ,Film,R,-,Severe,Severe,Severe,Severe,Moderate
2357,Pokémon: Detective Pikachu,2019,"150,485","Action, Adventure, Comedy",104 ,Film,PG,-,None,Mild,Mild,Mild,Mild
511,Hall Pass,2011,"122,626","Comedy, Romance",105 ,Film,R,-,Severe,Mild,Moderate,Mild,None
6162,Mommy,2014,"54,020",Drama,139 ,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
62,Dune,1984,"142,157","Action, Adventure, Sci-Fi",137 ,Film,PG-13,-,Mild,Moderate,None,Mild,Moderate
3085,Blended,2014,"125,857","Comedy, Romance",117 ,Film,PG-13,-,Mild,None,Mild,None,None
1553,Dirilis: Ertugrul,1990,"32,886","Action, Adventure, Drama",120 ,Series,TV-14,179,None,Moderate,None,None,Mild
3989,American Mary,2012,"24,525","Drama, Horror",103 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
5369,V/H/S Viral,2014,"15,950","Horror, Thriller",81 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
2644,Män som hatar kvinnor,2009,"212,757","Crime, Drama, Mystery",152 ,Film,R,-,Severe,Severe,Severe,Mild,Severe
2836,Adventures in Babysitting,1987,"41,388","Adventure, Comedy, Crime",102 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
5594,High Noon,1952,"101,009","Drama, Thriller, Western",85 ,Film,PG,-,None,Mild,None,Mild,Mild
4071,R.I.P.D.,2013,"124,870","Action, Adventure, Comedy",96 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
2225,Limetown,2019,"2,389","Crime, Mystery, Sci-Fi",30 ,Series,TV-14,10,No Rate,No Rate,No Rate,No Rate,No Rate
679,Banshee,2008,"93,482","Action, Crime, Drama",60 ,Series,TV-MA,38,Severe,Severe,Severe,Moderate,Severe
5329,The Rocketeer,1991,"55,673","Action, Adventure, Family",108 ,Film,PG,-,None,Mild,Mild,Mild,Mild
1211,The Hunger Games: Catching Fire,2013,"634,465","Action, Drama, Mystery",146 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
122,Law & Order: Organized Crime,2021,"4,267","Crime, Drama, Mystery",None,Series,TV-14,14,Mild,Moderate,Moderate,Moderate,Moderate
2802,Your Cheatin' Heart,1964,773,"Biography, Drama, Music",99 ,Film,Not Rated,-,No Rate,Mild,No Rate,Mild,No Rate
1593,Empire,1994,"38,429","Drama, Music",42 ,Series,TV-14,103,Mild,Moderate,Moderate,Severe,Moderate
4205,"Legally Blonde 2: Red, White & Blonde",2003,"64,245",Comedy,95 ,Film,PG-13,-,None,None,Mild,None,None
5695,Taps,1981,"17,458",Drama,126 ,Film,PG,-,Mild,Mild,Mild,Mild,Moderate
3361,Rambo: First Blood Part II,1985,"161,712","Action, Adventure, Thriller",96 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
1210,Cruel Intentions,1999,"185,784","Drama, Romance",97 ,Film,R,-,Moderate,Mild,Moderate,Moderate,None
567,Untitled Indiana Jones Project,2022,No Votes,"Action, Adventure",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
1873,Descendants,2015,"18,178","Comedy, Family, Fantasy",112 ,Film,TV-G,-,None,None,None,None,Mild
3816,Frankenstein,1994,"53,476","Drama, Horror, Romance",123 ,Film,R,-,Mild,Moderate,Mild,None,Moderate
548,The Thing,1982,"393,279","Horror, Mystery, Sci-Fi",109 ,Film,R,-,None,Severe,Moderate,Mild,Severe
1717,Untitled Super Mario Project,2022,No Votes,"Animation, Adventure, Comedy",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
864,Step Brothers,2008,"279,245",Comedy,98 ,Film,R,-,Moderate,Mild,Severe,Mild,None
5152,Billy Elliot,2000,"130,745","Drama, Music",110 ,Film,R,-,Mild,Mild,Severe,Mild,Mild
1392,American Gangster,2007,"407,369","Biography, Crime, Drama",157 ,Film,R,-,Severe,Severe,Severe,Severe,Severe
4629,About a Boy,2002,"179,143","Comedy, Drama, Romance",101 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
3393,Risky Business,1983,"85,255","Comedy, Crime, Drama",99 ,Film,R,-,Moderate,None,Moderate,Moderate,None
2550,Robin Hood,2010,"260,414","Action, Adventure, Drama",140 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
2149,Peter Pan,2003,"69,660","Adventure, Family, Fantasy",113 ,Film,PG,-,None,Moderate,None,Mild,Mild
3661,Siren,2009,"13,040","Drama, Fantasy",60 ,Series,TV-PG,36,Mild,Mild,None,Mild,Mild
2840,Warrior Nun,2015,"25,961","Action, Drama, Fantasy",None,Series,TV-MA,11,None,Moderate,Moderate,Mild,Moderate
720,Hamilton,2020,"74,919","Biography, Drama, History",160 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
4059,Wander,2020,"8,064",Thriller,94 ,Film,R,-,None,Mild,None,Mild,Moderate
5748,Lake Placid,1999,"58,638","Action, Comedy, Horror",82 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
690,Fright Night,1985,"65,518","Fantasy, Horror, Thriller",106 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
2559,Sausage Party,2016,"184,434","Animation, Adventure, Comedy",89 ,Film,R,-,Severe,Moderate,Severe,Moderate,Moderate
1773,Coroner,2016,"3,700","Crime, Drama, Mystery",60 ,Series,TV-MA,38,Mild,Mild,Mild,No Rate,No Rate
602,Hanma Baki: Son of Ogre,1973,624,"Animation, Action, Drama",25 ,Series,TV-MA,12,No Rate,No Rate,No Rate,No Rate,No Rate
3895,The Brothers Grimm,2005,"118,683","Action, Adventure, Comedy",118 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
3260,Peppermint,2018,"61,430","Action, Crime, Drama",101 ,Film,R,-,None,Severe,Moderate,Moderate,Severe
4750,La grande bellezza,2013,"84,781",Drama,141 ,Film,Not Rated,-,Moderate,Mild,Mild,Mild,None
2770,Nope,2022,No Votes,"Fantasy, Horror, Thriller",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
3655,The Outer Limits,1997,"12,025","Drama, Fantasy, Horror",44 ,Series,TV-PG,152,Severe,Severe,Severe,Severe,Moderate
6042,Wrath of the Titans,2012,"185,495","Action, Adventure, Fantasy",99 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
503,Justified,2018,"91,933","Action, Crime, Drama",44 ,Series,TV-MA,78,Mild,Severe,Moderate,Moderate,Moderate
5278,The Hate U Give,2018,"33,758","Crime, Drama",133 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Severe
318,Inception,2010,"2,178,860","Action, Adventure, Sci-Fi",148 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
5888,Legend of the Seeker,1991,"34,191","Action, Adventure, Drama",44 ,Series,TV-14,44,Mild,Moderate,Mild,Mild,Moderate
2776,Hellbound: Hellraiser II,1988,"45,618","Horror, Thriller",97 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
274,Parks and Recreation,2021,"233,155",Comedy,22 ,Series,TV-14,124,Mild,Mild,Mild,Mild,None
5574,Starsky and Hutch,2022,"8,618","Action, Crime, Drama",60 ,Series,None,92,No Rate,No Rate,No Rate,No Rate,No Rate
3018,Pitch Perfect 3,2017,"60,102","Comedy, Music",93 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
1361,The Mist,2007,"291,982","Horror, Sci-Fi, Thriller",126 ,Film,R,-,None,Severe,Moderate,Mild,Severe
5479,The Lorax,2012,"104,931","Animation, Adventure, Comedy",86 ,Film,PG,-,None,Mild,None,None,Mild
1526,Booksmart,2019,"107,068",Comedy,102 ,Film,R,-,Moderate,None,Severe,Moderate,None
2513,The Alpines,2021,"2,249","Drama, Horror, Mystery",93 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
2304,Dracula,1931,"49,504","Drama, Fantasy, Horror",75 ,Film,Passed,-,None,Mild,None,Mild,Mild
4925,People Just Do Nothing: Big in Japan,2021,"1,601","Comedy, Music",97 ,Film,R,-,Moderate,Mild,Severe,Severe,None
3867,Lost Highway,1997,"136,693","Mystery, Thriller",134 ,Film,R,-,Severe,Severe,Moderate,Mild,Severe
6016,Hot Summer Nights,2017,"15,784","Comedy, Crime, Drama",107 ,Film,R,-,Mild,Moderate,Severe,Severe,Moderate
5809,To Catch a Spy,2021,595,"Mystery, Romance",90 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
3185,The Tree of Life,2011,"172,419","Drama, Fantasy",139 ,Film,PG-13,-,None,Mild,None,None,Mild
5978,A Wife's Nightmare,2014,"1,195","Drama, Mystery, Thriller",85 ,Film,TV-PG,-,Mild,Mild,Mild,Mild,Mild
3926,Heavy Metal 2000,2000,"8,161","Animation, Action, Adventure",88 ,Film,R,-,Moderate,Moderate,Mild,Mild,Severe
945,Jumanji,1995,"324,368","Adventure, Comedy, Family",104 ,Film,PG,-,None,Mild,Mild,Mild,Moderate
4851,The Sisterhood of the Traveling Pants,2005,"58,010","Comedy, Drama, Romance",119 ,Film,PG,-,Mild,None,None,Mild,Mild
5950,"Ich seh, Ich seh",2014,"48,564","Horror, Mystery, Thriller",99 ,Film,R,-,Mild,Severe,None,None,Severe
295,The 355,2022,No Votes,"Action, Thriller",None,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
5178,The Thundermans,2011,"4,255","Action, Comedy, Drama",23 ,Series,TV-G,98,None,Mild,None,None,Mild
2318,The Life Aquatic with Steve Zissou,2004,"187,352","Action, Adventure, Comedy",119 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
298,The Hunger Games,2012,"874,403","Action, Adventure, Sci-Fi",142 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
68,The Suicide Squad,2021,"224,344","Action, Adventure, Comedy",132 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
4516,Posledniy bogatyr. Koren' Zla,2021,700,"Adventure, Comedy, Family",121 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
736,Pose,1963,"25,107",Drama,60 ,Series,TV-MA,26,Moderate,Mild,Severe,Severe,Mild
1598,Bill & Ted Face the Music,2020,"40,803","Adventure, Comedy, Music",91 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
3612,Scary Movie 5,2013,"68,660",Comedy,88 ,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild
3164,The Autopsy of Jane Doe,2016,"107,463","Horror, Mystery, Thriller",86 ,Film,R,-,Moderate,Severe,Moderate,None,Severe
3856,Diff'rent Strokes,2021,"10,434","Comedy, Drama, Family",30 ,Series,TV-PG,181,Mild,None,None,Mild,Mild
1503,Amphibia,2013,"3,342","Animation, Action, Adventure",23 ,Series,TV-Y7,45,None,Mild,None,None,Mild
2271,American Underdog,2021,No Votes,Drama,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
150,How I Met Your Mother,2020,"635,038","Comedy, Romance",22 ,Series,TV-14,208,Moderate,None,Mild,Moderate,None
756,Spiral: From the Book of Saw,2021,"37,402","Crime, Horror, Mystery",93 ,Film,R,-,None,Severe,Severe,Mild,Severe
2164,Mauseu,2004,"2,938","Action, Crime, Mystery",80 ,Series,None,22,No Rate,No Rate,No Rate,No Rate,No Rate
3704,Soleil rouge,1971,"8,873","Action, Western",112 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
1703,Evil Dead II,1987,"154,865","Comedy, Horror",84 ,Film,R,-,Mild,Severe,Moderate,None,Moderate
5628,Boys Don't Cry,1999,"95,199","Biography, Crime, Drama",118 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
5965,McLintock!,1963,"14,055","Comedy, Romance, Western",127 ,Film,Passed,-,None,Mild,Mild,Mild,None
4315,SGU Stargate Universe,1989,"48,992","Drama, Sci-Fi",43 ,Series,Not Rated,40,Mild,Mild,Mild,Mild,Mild
169,Cinderella,2021,"33,916","Adventure, Comedy, Family",113 ,Film,PG,-,Mild,None,Mild,None,None
4325,Royal Pains,1996,"20,332","Comedy, Drama",42 ,Series,TV-PG,104,Mild,Mild,None,Mild,Moderate
376,Gunpowder Milkshake,2021,"30,807","Action, Crime, Thriller",114 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
4664,Wildlife,2018,"27,185",Drama,105 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
2525,Defiance,2008,"143,033","Action, Drama, History",137 ,Film,R,-,Mild,Moderate,Moderate,Mild,Severe
859,No Sudden Move,2021,"23,345","Crime, Drama, Mystery",115 ,Film,R,-,None,Moderate,Moderate,Moderate,Moderate
4986,Night Raiders,2021,118,Sci-Fi,97 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
4951,King Kong,1933,"82,705","Adventure, Horror, Sci-Fi",100 ,Film,Passed,-,Mild,Moderate,None,Mild,Moderate
1945,The Butterfly Effect,2004,"467,709","Drama, Sci-Fi, Thriller",113 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
4015,Midnight Cowboy,1969,"106,739",Drama,113 ,Film,X,-,Severe,Moderate,Moderate,Mild,Moderate
2072,Moonfall,2022,No Votes,"Action, Adventure, Fantasy",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
378,Agents of S.H.I.E.L.D.,2021,"207,705","Action, Adventure, Drama",45 ,Series,TV-PG,136,Mild,Moderate,Mild,Mild,Moderate
2881,Abraham Lincoln: Vampire Hunter,2012,"152,615","Action, Fantasy, Horror",105 ,Film,R,-,Mild,Severe,Mild,Mild,Severe
6033,Andromeda,2016,"13,063","Action, Adventure, Drama",43 ,Series,TV-PG,110,Mild,Mild,Mild,Mild,Mild
1294,Ant-Man,2015,"609,889","Action, Adventure, Comedy",117 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
366,SEAL Team,2021,"19,476","Action, Drama, War",43 ,Series,TV-14,94,None,Moderate,Moderate,Mild,Moderate
2124,Toy Story 4,2019,"224,010","Animation, Adventure, Comedy",100 ,Film,G,-,None,Mild,None,None,Mild
1432,The Terror,1998,"41,518","Adventure, Drama, History",60 ,Series,TV-14,20,Mild,Severe,Mild,Mild,Severe
2865,Ôdishon,1999,"77,108","Drama, Horror, Mystery",115 ,Film,R,-,Moderate,Severe,Mild,Mild,Severe
4656,The King: Youngwonui Gunjoo,2020,"8,865","Fantasy, Mystery, Romance",70 ,Series,TV-14,16,None,Moderate,Mild,Mild,Moderate
5694,A Different World,1999,"6,358",Comedy,60 ,Series,TV-PG,144,No Rate,No Rate,No Rate,No Rate,No Rate
1779,The King of Staten Island,2020,"53,382","Comedy, Drama",136 ,Film,R,-,Mild,Mild,Severe,Moderate,Mild
3966,Network,1976,"152,766",Drama,121 ,Film,R,-,Mild,Mild,Moderate,Mild,Moderate
5821,Runt,2020,79,"Drama, Thriller",95 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
4714,The One,2012,"11,513","Crime, Drama, Sci-Fi",None,Series,TV-MA,8,Mild,Mild,Moderate,Mild,Mild
1818,Platoon,1986,"396,240","Drama, War",120 ,Film,R,-,Mild,Severe,Severe,Moderate,Severe
5990,Red Dawn,2012,"75,376","Action, Drama",93 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
841,Death Proof,2007,"279,711","Action, Thriller",127 ,Film,TV-MA,-,Mild,Severe,Severe,Moderate,Moderate
5083,Annie Hall,1977,"258,522","Comedy, Romance",93 ,Film,PG,-,Moderate,None,Mild,Mild,None
1189,The Conjuring 2,2016,"249,635","Horror, Mystery, Thriller",134 ,Film,R,-,None,Moderate,Mild,Mild,Severe
175,The Flash,2019,"325,626","Action, Adventure, Drama",43 ,Series,TV-PG,165,Mild,Mild,Mild,Mild,Mild
3262,Killing Them Softly,2012,"138,664","Crime, Drama, Thriller",97 ,Film,R,-,Mild,Severe,Severe,Severe,Severe
3829,Scanners,1981,"52,008","Horror, Sci-Fi, Thriller",103 ,Film,R,-,None,Severe,Mild,Mild,Severe
927,Gomorra: La serie,2021,"33,068","Crime, Drama, Thriller",55 ,Series,TV-MA,58,Moderate,Severe,Severe,Severe,Severe
3447,Midnight Express,1978,"76,801","Biography, Crime, Drama",121 ,Film,R,-,Moderate,Severe,Moderate,Severe,Severe
45,What We Do in the Shadows,2021,"50,078","Comedy, Fantasy, Horror",30 ,Series,TV-MA,31,Moderate,Moderate,Moderate,Mild,Mild
1260,The Babadook,2014,"208,551","Drama, Horror, Mystery",94 ,Film,Not Rated,-,Mild,Moderate,Mild,None,Severe
1096,The Equalizer,2014,"351,305","Action, Crime, Thriller",132 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
1443,Paradise Hills,2019,"21,145","Fantasy, Sci-Fi, Thriller",95 ,Film,TV-14,-,Mild,Mild,Mild,Mild,Mild
6004,Back to School,1986,"30,413","Comedy, Romance, Sport",96 ,Film,PG-13,-,Moderate,Mild,Moderate,Mild,None
4552,Ci sha xiao shuo jia,2021,"1,758","Action, Adventure, Crime",130 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
3106,Come Play,2020,"10,730","Drama, Horror, Mystery",96 ,Film,PG-13,-,None,Mild,Mild,None,Moderate
1187,Jagten,2012,"304,947",Drama,115 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
5243,Black Sunday,1977,"7,515","Adventure, Crime, Drama",143 ,Film,R,-,None,Severe,Mild,Mild,Moderate
2820,Clarice,2021,"8,031","Crime, Drama, Mystery",60 ,Series,TV-14,13,Mild,Moderate,Mild,Mild,Moderate
1030,Carnival Row,2022,"52,649","Crime, Drama, Fantasy",56 ,Series,TV-MA,16,Severe,Severe,Severe,Mild,Moderate
2399,Strike,2004,"12,685","Crime, Drama, Mystery",60 ,Series,TV-MA,11,Mild,Moderate,Moderate,Moderate,Moderate
300,Prison Break,2009,"499,859","Action, Crime, Drama",44 ,Series,TV-14,90,Mild,Moderate,Mild,Mild,Moderate
1472,Blade,1998,"257,516","Action, Horror, Sci-Fi",120 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
283,Wonder Woman 1984,2020,"233,753","Action, Adventure, Fantasy",151 ,Film,PG-13,-,Mild,Mild,Mild,None,Mild
3492,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,"130,751",Comedy,95 ,Film,R,-,Severe,Mild,Moderate,None,None
2647,That Time I Got Reincarnated as a Slime,2015,"7,127","Animation, Action, Adventure",25 ,Series,TV-PG,56,Moderate,Moderate,Mild,Mild,Mild
5840,Ferdinand,2017,"52,919","Animation, Adventure, Comedy",108 ,Film,PG,-,None,Mild,None,None,Mild
1813,Dark Desire,2008,"4,746","Drama, Mystery, Thriller",30 ,Series,TV-MA,19,Severe,Moderate,Mild,Moderate,Mild
1271,Final Destination 3,2006,"135,910","Horror, Mystery, Thriller",93 ,Film,R,-,Moderate,Severe,Severe,None,Severe
4335,A Star Is Born,1976,"10,918","Drama, Music, Romance",139 ,Film,R,-,Mild,None,Moderate,Moderate,None
5900,La grande bellezza,2013,"84,781",Drama,141 ,Film,Not Rated,-,Moderate,Mild,Mild,Mild,None
5307,It's a Mad Mad Mad Mad World,1963,"39,857","Action, Adventure, Comedy",210 ,Film,G,-,None,Mild,None,Mild,None
2008,Pleasantville,1998,"125,413","Comedy, Drama, Fantasy",124 ,Film,PG-13,-,Moderate,Mild,Mild,Mild,Mild
3333,The Perfect Storm,2000,"161,870","Action, Adventure, Drama",130 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
2476,Hunt for the Wilderpeople,2016,"121,089","Adventure, Comedy, Drama",101 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
5626,Sin nombre,2009,"32,071","Adventure, Crime, Drama",96 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate
3794,Bimilui Soop,2021,"6,769","Crime, Drama, Mystery",60 ,Series,TV-14,32,None,Mild,Mild,Mild,Mild
99,The Harder They Fall,2021,315,"Drama, Western",130 ,Film,R,-,Mild,Severe,Moderate,Moderate,Severe
3131,Dark Matter,2008,"40,499","Adventure, Drama, Mystery",42 ,Series,TV-14,39,Mild,Moderate,Mild,Mild,Moderate
744,Love,2015,"53,341","Drama, Romance",135 ,Film,TV-MA,-,Severe,Mild,Severe,Severe,Mild
5715,Braqueurs,2015,"4,889","Action, Crime, Drama",81 ,Film,TV-MA,-,Moderate,Moderate,Moderate,Mild,Mild
4894,Drunk History,1988,"10,130","Comedy, History",22 ,Series,TV-14,72,Mild,Mild,Moderate,Severe,Mild
